,Method,Parameter,Signal_id,Repetition,-5,0,5,10,15,20
5029,dt,{'LB': 1.0},6_female,29,1.2070351839065552,1.3049616813659668,1.4848732948303223,1.7738523483276367,2.111006021499634,2.533540964126587
5030,dt,{'LB': 1.0},6_female,30,1.1580557823181152,1.2254196405410767,1.359412670135498,1.6243162155151367,1.9988491535186768,2.3833274841308594
5031,dt,{'LB': 1.0},6_female,31,1.1793222427368164,1.2746899127960205,1.4601900577545166,1.7273197174072266,2.059699296951294,2.444758415222168
5032,dt,{'LB': 1.0},6_female,32,1.1910629272460938,1.3023958206176758,1.5350253582000732,1.838547706604004,2.1789119243621826,2.589768886566162
5033,dt,{'LB': 1.0},6_female,33,1.0840826034545898,1.2310775518417358,1.4158298969268799,1.6938831806182861,1.9871872663497925,2.3585147857666016
5034,dt,{'LB': 1.0},6_female,34,1.1708999872207642,1.262786626815796,1.4512224197387695,1.7553311586380005,2.0957062244415283,2.5076563358306885
5035,dt,{'LB': 1.0},6_female,35,1.2004578113555908,1.3216558694839478,1.545210838317871,1.8765442371368408,2.2540109157562256,2.658423662185669
5036,dt,{'LB': 1.0},6_female,36,1.1599595546722412,1.2475638389587402,1.4324917793273926,1.7054989337921143,2.0497217178344727,2.4991464614868164
5037,dt,{'LB': 1.0},6_female,37,1.2219794988632202,1.3301467895507812,1.5277979373931885,1.8153680562973022,2.1440389156341553,2.5463528633117676
5038,dt,{'LB': 1.0},6_female,38,1.1573259830474854,1.2407968044281006,1.4007937908172607,1.6626417636871338,2.0342652797698975,2.4193615913391113
5039,dt,{'LB': 1.0},6_female,39,1.1875624656677246,1.2990202903747559,1.4815549850463867,1.7777681350708008,2.156845808029175,2.540220260620117
5040,dt,{'LB': 1.0},6_female,40,1.1638232469558716,1.2557837963104248,1.4188776016235352,1.694373369216919,2.0068750381469727,2.4042460918426514
5041,dt,{'LB': 1.0},6_female,41,1.1533561944961548,1.2350577116012573,1.4155956506729126,1.7080157995224,2.0492429733276367,2.435115337371826
5042,dt,{'LB': 1.0},6_female,42,1.180524468421936,1.2690402269363403,1.4355225563049316,1.7037677764892578,2.023869514465332,2.5043134689331055
5043,dt,{'LB': 1.0},6_female,43,1.1823365688323975,1.2908759117126465,1.502444863319397,1.8113762140274048,2.1282663345336914,2.5738351345062256
5044,dt,{'LB': 1.0},6_female,44,1.197229027748108,1.2981761693954468,1.4934645891189575,1.794358491897583,2.1443088054656982,2.5876705646514893
5045,dt,{'LB': 1.0},6_female,45,1.1951231956481934,1.3148928880691528,1.543269157409668,1.855283260345459,2.2162463665008545,2.66172456741333
5046,dt,{'LB': 1.0},6_female,46,1.1770265102386475,1.285141944885254,1.4779155254364014,1.7412872314453125,2.0600569248199463,2.483896017074585
5047,dt,{'LB': 1.0},6_female,47,1.1680594682693481,1.2626025676727295,1.4458383321762085,1.7464221715927124,2.1061086654663086,2.5246529579162598
5048,dt,{'LB': 1.0},6_female,48,1.1612335443496704,1.2470145225524902,1.4308059215545654,1.7360107898712158,2.120140790939331,2.4849727153778076
5049,dt,{'LB': 1.0},6_female,49,1.2060214281082153,1.3195310831069946,1.5253150463104248,1.812738299369812,2.226785659790039,2.593693256378174
5050,dt,{'LB': 1.0},6_female,50,1.1678745746612549,1.2592350244522095,1.4166040420532227,1.6474965810775757,1.9281165599822998,2.304917335510254
5051,dt,{'LB': 1.0},6_female,51,1.17942476272583,1.2794907093048096,1.469250202178955,1.7714488506317139,2.112769603729248,2.5123291015625
5052,dt,{'LB': 1.0},6_female,52,1.199020266532898,1.285593032836914,1.4460885524749756,1.699603796005249,2.009064197540283,2.4080560207366943
5053,dt,{'LB': 1.0},6_female,53,1.1767969131469727,1.2790762186050415,1.4920183420181274,1.8169701099395752,2.168606996536255,2.6040661334991455
5054,dt,{'LB': 1.0},6_female,54,1.201019287109375,1.3184587955474854,1.4909298419952393,1.7605830430984497,2.1726810932159424,2.526827335357666
5055,dt,{'LB': 1.0},6_female,55,1.1635754108428955,1.2976677417755127,1.4798073768615723,1.7443368434906006,2.106199026107788,2.5410447120666504
5056,dt,{'LB': 1.0},6_female,56,1.1550326347351074,1.2562024593353271,1.4352868795394897,1.7032454013824463,2.0444483757019043,2.4324004650115967
5057,dt,{'LB': 1.0},6_female,57,1.1398632526397705,1.2515124082565308,1.462960124015808,1.7632710933685303,2.1506130695343018,2.608661651611328
5058,dt,{'LB': 1.0},6_female,58,1.1595710515975952,1.260931372642517,1.450704574584961,1.7320547103881836,2.053866147994995,2.4491591453552246
