,Method,Parameter,Signal_id,Repetition,-5,0,5,10,15,20
5432,dt,{'LB': 1.0},trumpet,32,1.0723563432693481,1.1489698886871338,1.3233721256256104,1.6179616451263428,2.004364490509033,2.4505903720855713
5433,dt,{'LB': 1.0},trumpet,33,1.068244457244873,1.1374307870864868,1.296521782875061,1.574998378753662,1.9427073001861572,2.3653781414031982
5434,dt,{'LB': 1.0},trumpet,34,1.0690230131149292,1.1365962028503418,1.2949702739715576,1.5700907707214355,1.9327261447906494,2.3775930404663086
5435,dt,{'LB': 1.0},trumpet,35,1.0765217542648315,1.1469006538391113,1.298824667930603,1.5670137405395508,1.9485276937484741,2.382387638092041
5436,dt,{'LB': 1.0},trumpet,36,1.0862312316894531,1.1594460010528564,1.3192554712295532,1.5925298929214478,1.9568127393722534,2.4264607429504395
5437,dt,{'LB': 1.0},trumpet,37,1.0691378116607666,1.1382592916488647,1.2996193170547485,1.5849703550338745,1.9493381977081299,2.4001941680908203
5438,dt,{'LB': 1.0},trumpet,38,1.0691554546356201,1.143583059310913,1.295531988143921,1.5551667213439941,1.8968384265899658,2.349886178970337
5439,dt,{'LB': 1.0},trumpet,39,1.0620622634887695,1.124379277229309,1.2647960186004639,1.5175005197525024,1.8864986896514893,2.284870147705078
5440,dt,{'LB': 1.0},trumpet,40,1.0593870878219604,1.1133934259414673,1.2430071830749512,1.4934897422790527,1.8476334810256958,2.258554458618164
5441,dt,{'LB': 1.0},trumpet,41,1.0560297966003418,1.1123850345611572,1.24861741065979,1.5000923871994019,1.8489668369293213,2.302478313446045
5442,dt,{'LB': 1.0},trumpet,42,1.0518784523010254,1.1092619895935059,1.2515449523925781,1.519680142402649,1.8834691047668457,2.3367371559143066
5443,dt,{'LB': 1.0},trumpet,43,1.0621258020401,1.123670220375061,1.2724182605743408,1.5441343784332275,1.90526282787323,2.353729248046875
5444,dt,{'LB': 1.0},trumpet,44,1.0668052434921265,1.138832449913025,1.3010882139205933,1.5773952007293701,1.9334090948104858,2.3491740226745605
5445,dt,{'LB': 1.0},trumpet,45,1.0598303079605103,1.1196023225784302,1.2576881647109985,1.5032399892807007,1.836292028427124,2.3100433349609375
5446,dt,{'LB': 1.0},trumpet,46,1.0655654668807983,1.1294207572937012,1.2786262035369873,1.5487897396087646,1.9272023439407349,2.365222930908203
5447,dt,{'LB': 1.0},trumpet,47,1.0784900188446045,1.1497416496276855,1.304952621459961,1.5752172470092773,1.9218038320541382,2.375911235809326
